Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
241,12372,20371.9,9533.67,35.552,50.6736,1.35E+06,5.18E+08,0
242,11940.2,12179.1,9069,36.1843,50.6332,1.38E+06,5.24E+08,0
243,10646.9,11502.3,25422.8,36.1032,50.5934,1.45E+06,6.20E+08,0
244,11473.8,10197.6,33084.5,37.1008,50.5495,1.50E+06,8.55E+08,0
245,8002.74,10392,37020.6,38.8474,50.4978,1.53E+06,1.09E+09,0
246,7101.89,10233.4,19574.2,39.9022,50.4562,1.45E+06,4.53E+08,0
247,11204.4,10734.4,19945.7,41.2852,50.4176,1.46E+06,4.53E+08,0
248,9061.85,9837.03,16709.1,42.7926,50.3714,1.50E+06,6.71E+08,0
249,9047.11,18366.9,12240.9,43.6022,50.3468,1.54E+06,4.88E+08,0
250,7099.86,9057.88,14272.2,44.7742,50.3084,1.52E+06,4.76E+08,0
251,7295.38,8599.72,14617,45.9305,50.2773,1.53E+06,5.89E+08,0
252,9794.58,9461.4,13188.9,44.9336,50.2455,1.50E+06,4.69E+08,0
253,5893.55,7523.56,13181.4,46.0151,50.2052,1.57E+06,5.03E+08,0
254,6482.47,7815.19,10562.4,46.9712,50.1451,1.59E+06,5.12E+08,0
255,6262.7,7125.61,8688.15,46.9857,50.0434,1.63E+06,5.47E+08,0
256,5843.89,6881.57,9124.74,48.3531,49.9689,1.66E+06,6.04E+08,0
257,6000.76,9071.59,8471.1,49.2545,49.9004,1.72E+06,6.51E+08,0
258,6198.15,9263.9,10160.1,48.4227,49.8261,1.73E+06,6.93E+08,0
259,6732.86,10111.5,8822.77,49.3939,49.7571,1.84E+06,7.26E+08,0
260,6520.64,10694.9,10351.8,48.4963,49.695,1.86E+06,7.41E+08,0
261,6833.07,14357.4,9517.64,47.8775,49.6421,1.64E+06,7.07E+08,0
262,7752.89,8732.82,10113.7,47.4433,49.5596,1.59E+06,6.95E+08,0
263,7966.41,9626.7,9395.93,45.8962,49.5019,1.66E+06,6.96E+08,0
