Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
169,279.288,239.738,378.268,0.266668,68.5139,32024.8,5.23348e+06,0
170,282.463,222.059,392.495,0.265136,68.3673,32724.9,5.40599e+06,0
171,281.512,216.964,374.459,0.263584,68.2297,33435.4,5.58296e+06,0
172,279.632,216.305,404.764,0.261989,68.0874,34158.9,5.76511e+06,0
173,267.474,216.711,389.658,0.260404,67.937,34896.8,5.95291e+06,0
174,264.321,216.968,392.423,0.25878,67.7858,35651.5,6.14706e+06,0
175,265.584,217.433,361.989,0.257139,67.6347,36425.6,6.34835e+06,0
176,271.297,218.114,388.99,0.255444,67.4683,37223.7,6.55816e+06,0
177,277.362,223.547,354.836,0.253732,67.3104,38050.2,6.77784e+06,0
178,283.682,218.505,355.016,0.251958,67.1521,38909.7,7.00885e+06,0
179,290.303,231.033,366.604,0.250172,66.9857,39807,7.25276e+06,0
180,297.267,220.986,358.975,0.248357,66.8128,40747.3,7.51137e+06,0
181,366.574,222.293,419.226,0.246504,66.6382,41735.4,7.78637e+06,0
182,312.203,223.257,363.497,0.244587,66.451,42776.3,8.07963e+06,0
183,332.317,224.357,403.235,0.242618,66.263,43873.6,8.39271e+06,0
184,328.532,225.545,379.22,0.240601,66.0704,45031.9,8.72747e+06,0
185,337.194,247.059,378.68,0.238519,65.8631,46255.6,9.08584e+06,0
186,370.888,235.13,397.437,0.236349,65.648,47547.7,9.46945e+06,0
187,405.136,233.235,391.983,0.234112,65.4332,48911.3,9.87998e+06,0
188,418.312,272.123,388.306,0.231791,65.206,50349.5,1.03192e+07,0
189,431.066,258.376,418.815,0.22939,64.9751,51865.4,1.0789e+07,0
190,439.256,304.262,400.841,0.226909,64.736,53459,1.12903e+07,0
191,444.105,337.102,407.399,0.224341,64.4954,55130.8,1.18244e+07,0
192,430.966,357.745,413.852,0.221709,64.252,56880.9,1.23921e+07,0
193,425.904,380.556,420.464,0.219016,64.0221,58707.4,1.2994e+07,0
194,428.785,390.88,427.035,0.230735,63.8077,60607.9,1.36302e+07,0
195,439.831,427.87,433.304,0.243415,63.61,62579,1.43007e+07,0
196,450.99,405.47,439.882,0.25643,63.4079,64619.3,1.50058e+07,0
197,462.383,386.843,447.321,0.269848,63.2198,66727.6,1.57462e+07,0
198,473.262,392.734,454.561,0.28357,63.0333,68886.7,1.65166e+07,0
199,484.722,625.846,461.369,0.297855,62.8481,71102.1,1.73196e+07,0
200,491.641,622.374,469.811,0.311345,62.6679,73359.9,1.81508e+07,0
201,502.469,517.096,478.328,0.326493,62.5084,75653.1,1.90083e+07,0
202,511.872,819.772,487.802,0.341643,62.3223,77981.9,1.98923e+07,0
